Epoch,Erosion_R2,Erosion_Error_%,Deposition_R2,Deposition_Error_%
1,-13.509959365411504,-56.91057388928343,-61.68232773652035,-38.31413839250169
2,-6.049640781506509,-38.619289705727965,-37.86895572620722,-30.283566280961672
3,-4.260961136376947,-74.52875816441596,-19.435598686528152,25.591326399924274
4,-2.8626643945951926,-50.070422903654425,-15.295887504568126,16.02846124070756
5,-2.048838520792314,-9.169848350451348,-14.340132712022301,-80.30170997248051
6,-3.029561112844652,-51.975282891950705,-8.06690503783763,12.42042522619855
7,-1.5730482580064875,-40.144996828538304,-7.405904396960325,-14.877927603021739
8,-0.9480341841254264,-24.471389428970028,-5.323544060808198,-28.22006527889282
9,-0.6336972726665778,-25.951869464776617,-6.091182937964908,-31.664553015155995
10,-1.0321535450297041,-30.477957421557065,-5.83154316597374,1.589581790439626
11,-0.6637520661026439,-8.533268391174522,-7.19602574487781,-41.57486232790224
12,-1.1059577940231342,-35.67164674639068,-5.563430355714215,15.665146014950377
13,-1.0246911111761834,8.04829171665528,-7.161736703054496,-45.277019958705345
14,-0.7675220799642805,-27.3203526593824,-4.179892112846186,9.210908309893405
15,-0.4557050154618708,-37.8162182550481,-4.677050055320175,3.0078361028845007
16,-0.17851116108906043,-16.105935294577417,-2.9598214631653352,-7.616206870087363
17,-0.8573141193462448,-43.266431507753566,-3.6078003848892712,19.494500569999218
18,-0.32864037347796565,-24.606033668239068,-2.753433113709317,-22.08121380907424
19,-0.04545650212756526,-22.91490556870369,-3.0727504518597155,-15.681459747274664
20,-0.335035570682711,-29.12782855490421,-1.9567670116234324,-13.815618560035178
21,-0.7825959806397832,-35.714827418485854,-4.831660537298109,24.84536574400486
22,-0.7789368167533873,-48.13920243028948,-3.0786838016368376,25.088352365221116
23,-0.42105455262293207,-25.16893004958934,-3.5564521768777624,16.7686573361007
24,0.04571801634630022,-19.883872437330478,-1.7846198824184083,0.6875028913008406
25,-0.5329572466913336,-46.51197514278775,-1.9891668372749614,23.668162655977017
26,-0.13849541944494534,-29.724642186564335,-2.0225653129055665,12.194679813469424
27,0.12731257646411237,-9.752126051945256,-1.8989732466468812,-18.015285279165873
28,-0.17867837227437694,-28.311609468878583,-1.6352266052664959,10.947213892111595
29,0.03331881886088724,-7.80124366085263,-2.088917816869626,-7.5410951899879795
30,-0.14978275239028088,-26.769481881204594,-1.4793496407038533,-6.198701102712608
31,0.11245483019164597,-15.78354556509789,-2.3409908056964763,-4.985819592517107
32,-0.10229553056289865,0.7459670255713641,-1.625288820211259,-35.48470767650833
33,-0.2032828983230403,-34.03402439298782,-2.4002242559863354,10.953434517091893
34,0.05903212211037689,-9.739223086929067,-1.664130167628865,14.405059368607212
35,0.31818828723599474,-15.421603031319002,-1.7904741479819024,3.274315207245502
36,-0.045479893121173086,-24.674365732898103,-1.6527009307535585,0.3933968854711411
37,0.23991770087695144,-20.78491729297774,-1.6024855801110611,10.671452290200172
38,0.33436644900770696,-14.569779096587382,-1.6334459006871997,-16.137068211398226
39,0.3615437246720445,-12.376354668447947,-0.9286863668407931,-9.250093374817453
40,0.39946954211691504,-11.668304393087771,-1.4230266708922057,-5.778267270231501
41,0.15514634670770536,-21.67950750903246,-1.4403603234611342,20.16559837415735
42,0.39248993898721035,-21.402545305008584,-0.8431289324283543,-3.703561328113713
